,filename,team,team_1,gender,season,date,event,venue,city,toss_winner,toss_decision,player_of_match,umpire,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,method,eliminator,players
1612,403381_info.csv,Sri Lanka,India,male,2009,2009/09/12,Compaq Cup,R Premadasa Stadium,Colombo,Sri Lanka,bat,AD Mathews,BR Doctrove,REJ Martinesz,MG Silva,BC Broad,Sri Lanka,139,,,,,
1613,403382_info.csv,India,New Zealand,male,2009,2009/09/11,Compaq Cup,R Premadasa Stadium,Colombo,New Zealand,bat,A Nehra,BR Doctrove,SSK Gallage,MG Silva,BC Broad,India,,6,,,,
1614,403383_info.csv,Sri Lanka,India,male,2009,2009/09/14,Compaq Cup,R Premadasa Stadium,Colombo,India,bat,SR Tendulkar,BR Doctrove,REJ Martinesz,HDPK Dharmasena,BC Broad,India,46,,,,,
1615,406192_info.csv,Australia,West Indies,male,2009/10,2010/02/07,West Indies in Australia ODI Series,Melbourne Cricket Ground,,West Indies,field,SR Watson,BNJ Oxenford,AP Ward,PR Reiffel,J Srinath,Australia,113,,,,,
1616,406193_info.csv,Australia,West Indies,male,2009/10,2010/02/09,West Indies in Australia ODI Series,Adelaide Oval,,West Indies,bat,DE Bollinger,BNJ Oxenford,SD Fry,PR Reiffel,J Srinath,Australia,,8,,,,
1617,406194_info.csv,Australia,West Indies,male,2009/10,2010/02/12,West Indies in Australia ODI Series,Sydney Cricket Ground,,West Indies,field,,BNJ Oxenford,GA Abood,PR Reiffel,J Srinath,,,,no result,,,
1618,406195_info.csv,Australia,West Indies,male,2009/10,2010/02/14,West Indies in Australia ODI Series,"Brisbane Cricket Ground, Woolloongabba",Brisbane,West Indies,field,RT Ponting,PR Reiffel,NS McNamara,BNJ Oxenford,J Srinath,Australia,50,,,,,
1619,406196_info.csv,Australia,West Indies,male,2009/10,2010/02/19,West Indies in Australia ODI Series,Melbourne Cricket Ground,,Australia,bat,JR Hopes,BNJ Oxenford,JD Ward,PR Reiffel,J Srinath,Australia,125,,,,,
1620,406202_info.csv,Australia,Pakistan,male,2009/10,2010/01/22,Pakistan in Australia ODI Series,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Pakistan,bat,CL White,RJ Tucker,NS McNamara,PR Reiffel,RS Madugalle,Australia,,5,,,,
1621,406203_info.csv,Australia,Pakistan,male,2009/10,2010/01/24,Pakistan in Australia ODI Series,Sydney Cricket Ground,,Pakistan,field,SR Watson,RJ Tucker,,PR Reiffel,RS Madugalle,Australia,140,,,,,
